21 Mar 08:00,21 Mar 09:00,21 Mar 10:00,21 Mar 11:00,21 Mar 12:00,21 Mar 13:00,21 Mar 14:00,21 Mar 15:00,21 Mar 16:00,21 Mar 17:00,21 Mar 18:00,21 Mar 19:00,21 Jun 06:00,21 Jun 07:00,21 Jun 08:00,21 Jun 09:00,21 Jun 10:00,21 Jun 11:00,21 Jun 12:00,21 Jun 13:00,21 Jun 14:00,21 Jun 15:00,21 Jun 16:00,21 Jun 17:00,21 Jun 18:00,21 Jun 19:00,21 Jun 20:00,21 Sep 07:00,21 Sep 08:00,21 Sep 09:00,21 Sep 10:00,21 Sep 11:00,21 Sep 12:00,21 Sep 13:00,21 Sep 14:00,21 Sep 15:00,21 Sep 16:00,21 Sep 17:00,21 Sep 18:00,21 Sep 19:00,21 Dec 09:00,21 Dec 10:00,21 Dec 11:00,21 Dec 12:00,21 Dec 13:00,21 Dec 14:00,21 Dec 15:00,21 Dec 16:00,21 Dec 17:00
0.060303,0.073691,0.081789,0.083408,0.08707,0.085613,0.083739,0.078013,0.071137,0.055378,0.024119,0.000814,0.039604,0.061912,0.073903,0.081333,0.08224,0.083911,0.08515,0.097726,0.17395,0.131348,0.125945,0.08348,0.069502,0.070612,0.001236,0.030769,0.057703,0.075286,0.079058,0.085138,0.08398,0.077549,0.074532,0.061983,0.048606,0.033538,0.014285,0,0.052514,0.064641,0.070493,0.074157,0.070791,0.060011,0.046954,0.030512,0.003652
0.056116,0.068511,0.076109,0.077538,0.081199,0.079958,0.078508,0.073455,0.067183,0.05227,0.022792,0.00082,0.037042,0.057871,0.069078,0.07603,0.076705,0.078322,0.079815,0.093182,0.17055,0.275953,0.165424,0.141545,0.067284,0.069474,0.001245,0.029394,0.055549,0.072182,0.075172,0.081157,0.08072,0.074832,0.071936,0.060289,0.04762,0.032596,0.013709,0,0.048864,0.060094,0.065555,0.069159,0.066173,0.05689,0.045013,0.029004,0.003679
0.053663,0.065406,0.072378,0.073794,0.077273,0.076512,0.075598,0.07123,0.065175,0.05049,0.021736,0.000828,0.035695,0.055536,0.066216,0.072542,0.07315,0.074571,0.076501,0.090622,0.168863,0.296827,0.366389,0.20686,0.065388,0.056872,0.001257,0.028762,0.054493,0.070597,0.073093,0.078801,0.079251,0.073794,0.070749,0.060139,0.047538,0.031998,0.013097,0,0.046706,0.057375,0.062621,0.066053,0.063524,0.055217,0.043886,0.028082,0.003716
0.055039,0.067056,0.074431,0.075646,0.079348,0.078525,0.078134,0.091855,0.085527,0.054123,0.023608,0.000879,0.03636,0.056853,0.067878,0.074668,0.075033,0.076589,0.07855,0.093356,0.172813,0.30237,0.420778,0.322398,0.160771,0.09741,0.001337,0.029721,0.056845,0.073543,0.075739,0.081941,0.082775,0.077622,0.075231,0.085849,0.057131,0.035313,0.014426,0,0.047853,0.058741,0.064076,0.0677,0.065295,0.057618,0.046474,0.029631,0.003957
0.056281,0.068439,0.075786,0.076772,0.080438,0.08004,0.080639,0.09659,0.239795,0.096633,0.027246,0.000942,0.03707,0.058171,0.06945,0.076347,0.076338,0.077745,0.080039,0.0959,0.176871,0.308483,0.431119,0.49862,0.462683,0.140225,0.001439,0.030925,0.059802,0.077166,0.078817,0.085251,0.087124,0.082411,0.080667,0.103424,0.120536,0.050153,0.016679,0,0.04874,0.059757,0.065192,0.068861,0.067106,0.060744,0.05025,0.032108,0.00426
0.057016,0.069365,0.077028,0.077811,0.081571,0.081082,0.081987,0.098604,0.25429,0.111968,0.029268,0.000963,0.037332,0.058933,0.070437,0.077759,0.077494,0.07897,0.081083,0.097125,0.178517,0.310597,0.434279,0.503275,0.46896,0.217338,0.001472,0.031333,0.060993,0.078671,0.08017,0.086934,0.088833,0.084267,0.08311,0.106103,0.13048,0.053038,0.018087,0,0.049294,0.060455,0.065957,0.069775,0.068189,0.062407,0.053653,0.039022,0.004361
0.059569,0.072451,0.080506,0.081086,0.084894,0.084591,0.086167,0.103961,0.262044,0.312633,0.065211,0.001004,0.038765,0.061585,0.073632,0.081551,0.080956,0.082422,0.084438,0.100919,0.183112,0.316176,0.441908,0.513217,0.478237,0.221525,0.001538,0.032601,0.063874,0.082396,0.083849,0.091012,0.09312,0.088698,0.088379,0.112112,0.138823,0.131668,0.031749,0,0.05129,0.062918,0.068668,0.072676,0.071454,0.066181,0.057942,0.045791,0.004556
0.061183,0.074418,0.082681,0.08331,0.087199,0.086995,0.088728,0.106694,0.265052,0.315349,0.066291,0.001015,0.03977,0.063216,0.075571,0.083741,0.083146,0.084641,0.086643,0.103159,0.185437,0.318533,0.444265,0.51539,0.479864,0.222205,0.001555,0.033258,0.065091,0.084039,0.085698,0.093009,0.095057,0.090612,0.090564,0.114205,0.14096,0.13334,0.032337,0,0.052645,0.064605,0.070543,0.074669,0.073524,0.068119,0.059962,0.04771,0.004608
0.055331,0.067731,0.075054,0.076711,0.080078,0.078702,0.076576,0.07075,0.064094,0.049413,0.021207,0.000717,0.03664,0.057144,0.068118,0.074694,0.075631,0.076983,0.07791,0.08892,0.087525,0.078101,0.075585,0.070735,0.057774,0.02858,0.001085,0.028123,0.052361,0.068342,0.072046,0.077318,0.07573,0.06944,0.066573,0.054813,0.042478,0.029148,0.012368,0,0.048225,0.059517,0.064996,0.068401,0.06514,0.05455,0.042313,0.027568,0.0032
0.050607,0.061903,0.068675,0.070114,0.073446,0.072236,0.070428,0.065074,0.05905,0.04554,0.019616,0.000721,0.033737,0.052579,0.062683,0.068735,0.069431,0.070726,0.071926,0.08383,0.101245,0.104774,0.072196,0.067499,0.054917,0.027267,0.001092,0.026553,0.049878,0.064782,0.067622,0.072777,0.071898,0.066058,0.063119,0.052051,0.040631,0.027747,0.011654,0,0.044124,0.054408,0.059437,0.062759,0.059867,0.050868,0.039927,0.025756,0.003222
