21 Mar 07:00,21 Mar 08:00,21 Mar 09:00,21 Mar 10:00,21 Mar 11:00,21 Mar 12:00,21 Mar 13:00,21 Mar 14:00,21 Mar 15:00,21 Mar 16:00,21 Mar 17:00,21 Mar 18:00,21 Jun 04:00,21 Jun 05:00,21 Jun 06:00,21 Jun 07:00,21 Jun 08:00,21 Jun 09:00,21 Jun 10:00,21 Jun 11:00,21 Jun 12:00,21 Jun 13:00,21 Jun 14:00,21 Jun 15:00,21 Jun 16:00,21 Jun 17:00,21 Jun 18:00,21 Jun 19:00,21 Jun 20:00,21 Jun 21:00,21 Sep 07:00,21 Sep 08:00,21 Sep 09:00,21 Sep 10:00,21 Sep 11:00,21 Sep 12:00,21 Sep 13:00,21 Sep 14:00,21 Sep 15:00,21 Sep 16:00,21 Sep 17:00,21 Sep 18:00,21 Dec 09:00,21 Dec 10:00,21 Dec 11:00,21 Dec 12:00,21 Dec 13:00,21 Dec 14:00,21 Dec 15:00
0.032051,0.164663,0.306529,0.430519,0.510193,0.538254,0.525326,0.466433,0.32656,0.066374,0.047834,0.022876,0,0.026523,0.058431,0.104686,0.221229,0.272538,0.280272,0.308771,0.351007,0.330619,0.281559,0.269451,0.267825,0.170627,0.073095,0.05565,0.021582,0.004539,0.050569,0.199409,0.31011,0.366895,0.399742,0.396098,0.359022,0.290999,0.199258,0.07509,0.047329,0.0164,0,0.029722,0.06286,0.082936,0.073977,0.052992,0.024043
0.049166,0.169937,0.311289,0.434462,0.513634,0.541435,0.528387,0.469377,0.329309,0.068808,0.049535,0.023877,0,0.031034,0.088254,0.189351,0.248786,0.283457,0.288285,0.315064,0.35688,0.336161,0.286546,0.273808,0.2709,0.17267,0.074189,0.046244,0.022271,0.004704,0.065759,0.20465,0.314751,0.370858,0.403444,0.399514,0.362021,0.293682,0.202084,0.077594,0.048878,0.017052,0,0.031333,0.065305,0.085385,0.076176,0.054669,0.024858
0.048578,0.168745,0.309766,0.432768,0.51178,0.539354,0.525893,0.466156,0.324994,0.063572,0.045431,0.022726,0,0.030219,0.086623,0.18691,0.246286,0.28043,0.284918,0.31149,0.35257,0.330688,0.279135,0.262712,0.194286,0.07724,0.057817,0.042078,0.021451,0.00457,0.065081,0.203369,0.313149,0.369042,0.40132,0.397132,0.359414,0.290277,0.196882,0.071528,0.045129,0.016031,0,0.030514,0.06384,0.083681,0.074425,0.053085,0.024014
0.046699,0.16418,0.303095,0.424313,0.500939,0.524418,0.407117,0.093665,0.053126,0.043683,0.033233,0.018696,0,0.036281,0.099454,0.178355,0.236089,0.266294,0.267429,0.290606,0.322392,0.279542,0.177638,0.119977,0.076515,0.052172,0.040496,0.030427,0.017374,0.00382,0.062309,0.198293,0.305866,0.359544,0.388058,0.378787,0.221033,0.0848,0.05751,0.05046,0.033768,0.012732,0,0.026746,0.055771,0.071419,0.057218,0.039426,0.019147
0.045365,0.160798,0.297999,0.417592,0.492091,0.512894,0.393234,0.052781,0.041231,0.034541,0.02666,0.015709,0,0.033913,0.094511,0.170075,0.226679,0.253554,0.249374,0.264105,0.228806,0.131511,0.100158,0.078282,0.056264,0.04083,0.033063,0.025206,0.014303,0.00318,0.060054,0.194496,0.300194,0.351751,0.376798,0.364613,0.206918,0.049145,0.04488,0.040288,0.027428,0.0106,0,0.024728,0.050952,0.064424,0.050069,0.031348,0.015634
0.045349,0.160843,0.29806,0.417503,0.491419,0.511031,0.292247,0.052688,0.041883,0.035261,0.027251,0.01601,0,0.033875,0.09453,0.170344,0.227211,0.254509,0.251228,0.259471,0.209045,0.160807,0.109733,0.083646,0.058431,0.041268,0.032992,0.025094,0.014557,0.003249,0.060148,0.194556,0.300266,0.351616,0.375873,0.316477,0.152209,0.049372,0.045648,0.04103,0.027886,0.010778,0,0.024438,0.050493,0.064052,0.049796,0.031318,0.015961
0.04525,0.160519,0.297546,0.416715,0.489825,0.363189,0.062003,0.05062,0.040649,0.034246,0.026372,0.01549,0,0.033643,0.093954,0.169253,0.226041,0.253231,0.250372,0.268597,0.290319,0.215687,0.109199,0.081222,0.056214,0.039939,0.03233,0.024829,0.014006,0.003128,0.059868,0.194185,0.299678,0.350645,0.373613,0.184356,0.058659,0.047576,0.044315,0.03983,0.027028,0.010446,0,0.024155,0.049468,0.062237,0.048026,0.030201,0.015407
0.043745,0.156438,0.290732,0.406402,0.380855,0.296074,0.04551,0.03693,0.030648,0.026609,0.020802,0.01258,0,0.030905,0.08823,0.159532,0.214278,0.236226,0.222949,0.157307,0.110997,0.093171,0.073085,0.058259,0.042123,0.031277,0.02589,0.019885,0.01103,0.002485,0.057326,0.189508,0.291873,0.338288,0.274157,0.164375,0.042751,0.034768,0.033691,0.031058,0.021325,0.008445,0,0.021406,0.043019,0.053403,0.036257,0.0216,0.011939
0.048999,0.169652,0.310963,0.434119,0.513277,0.541062,0.528,0.468988,0.328938,0.06848,0.049312,0.02377,0,0.03032,0.08722,0.188312,0.24795,0.282733,0.28761,0.314429,0.356233,0.335515,0.285934,0.273241,0.270442,0.172295,0.073857,0.045993,0.022189,0.004686,0.065566,0.204353,0.314415,0.370499,0.403053,0.399109,0.361637,0.293347,0.201721,0.077266,0.04867,0.016973,0,0.031163,0.065034,0.085101,0.075909,0.054464,0.024765
0.049118,0.169877,0.311253,0.434463,0.513694,0.54161,0.528814,0.470364,0.364637,0.176738,0.050396,0.023933,0,0.030487,0.087545,0.188772,0.248423,0.283298,0.288236,0.315116,0.357087,0.33666,0.287513,0.275242,0.272331,0.173414,0.074513,0.046355,0.022285,0.004704,0.065699,0.204594,0.314721,0.37087,0.403532,0.399748,0.362537,0.294861,0.240185,0.110723,0.049508,0.017125,0,0.031348,0.065379,0.085535,0.076449,0.055056,0.024986
0.048842,0.16933,0.310555,0.433674,0.512803,0.540553,0.52743,0.468322,0.328143,0.067521,0.048382,0.023446,0,0.030104,0.086784,0.187651,0.247275,0.281914,0.286703,0.313482,0.355125,0.334196,0.284316,0.271032,0.267301,0.15348,0.062233,0.044645,0.021945,0.004647,0.065385,0.204008,0.313988,0.370023,0.402511,0.39853,0.361054,0.292661,0.200783,0.076108,0.047758,0.016677,0,0.030951,0.064656,0.084667,0.075483,0.054093,0.024554
0.048168,0.168554,0.310042,0.433382,0.512642,0.540478,0.527436,0.468432,0.328399,0.067982,0.048956,0.023614,0,0.029339,0.074676,0.180234,0.245289,0.281046,0.286366,0.313417,0.355283,0.334601,0.285074,0.272437,0.269769,0.171744,0.073374,0.045647,0.022088,0.004664,0.064667,0.203289,0.313533,0.369772,0.40239,0.398497,0.361081,0.292854,0.201186,0.076799,0.04838,0.016845,0,0.030854,0.064603,0.084691,0.075543,0.054186,0.024645
0.048999,0.169652,0.310963,0.434119,0.513277,0.541062,0.528,0.468988,0.328938,0.06848,0.049312,0.02377,0,0.03032,0.08722,0.188312,0.24795,0.282733,0.28761,0.314429,0.356233,0.335515,0.285934,0.273241,0.270442,0.172295,0.073857,0.045993,0.022189,0.004686,0.065566,0.204353,0.314415,0.370499,0.403053,0.399109,0.361637,0.293347,0.201721,0.077266,0.04867,0.016973,0,0.031163,0.065034,0.085101,0.075909,0.054464,0.024765
