module, rotation, UDI-f, UDI-a, UDI-e 
module_0,0.0,9.7,58.08,32.22
module_0,0.0,9.62,40.49,49.89
module_0,0.0,9.62,35.97,54.41
module_0,0.0,9.62,34.79,55.59
module_0,0.0,9.62,35.12,55.26
module_0,0.0,9.62,36.22,54.16
module_0,0.0,9.62,38.79,51.59
module_0,0.0,9.64,46.19,44.16
module_0,0.0,11.37,88.63,0.0
module_0,0.0,10.11,84.08,5.81
module_0,0.0,9.73,61.48,28.79
module_0,0.0,9.7,50.6,39.7
module_0,0.0,9.7,48.25,42.05
module_0,0.0,9.78,52.66,37.56
module_0,0.0,9.89,68.0,22.11
module_0,0.0,11.67,88.33,0.0
module_0,0.0,10.68,85.51,3.81
module_0,0.0,10.19,78.41,11.4
module_0,0.0,10.11,71.34,18.55
module_0,0.0,10.03,66.79,23.18
module_0,0.0,9.95,65.26,24.79
module_0,0.0,9.78,66.38,23.84
module_0,0.0,12.19,87.81,0.0
module_0,0.0,11.42,86.85,1.73
module_0,0.0,10.79,83.48,5.73
module_0,0.0,10.49,81.01,8.49
module_0,0.0,10.14,78.6,11.26
module_0,0.0,10.0,76.36,13.64
module_0,0.0,9.78,69.67,20.55
module_0,0.0,12.9,87.1,0.0
module_0,0.0,12.16,87.32,0.52
module_0,0.0,11.37,86.11,2.52
module_0,0.0,10.71,84.99,4.3
module_0,0.0,10.36,84.49,5.15
module_0,0.0,10.08,84.03,5.89
module_0,0.0,9.78,75.75,14.47
module_0,0.0,13.92,86.08,0.0
module_0,0.0,12.99,87.01,0.0
module_0,0.0,11.89,87.37,0.74
module_0,0.0,11.15,87.73,1.12
module_0,0.0,10.58,87.37,2.05
module_0,0.0,10.11,87.7,2.19
module_0,0.0,9.78,84.36,5.86
module_0,0.0,61.45,38.55,0.0
module_0,0.0,54.44,45.56,0.0
module_0,0.0,47.64,52.36,0.0
module_0,0.0,41.07,58.93,0.0
module_0,0.0,32.63,67.37,0.0
module_0,0.0,27.12,72.88,0.0
module_0,0.0,21.84,78.16,0.0
module_0,0.0,17.23,82.77,0.0
module_0,0.0,14.9,85.1,0.0
module_0,0.0,13.59,86.41,0.0
module_0,0.0,12.58,87.42,0.0
module_0,0.0,11.56,88.38,0.05
module_0,0.0,10.77,89.07,0.16
module_0,0.0,10.3,89.34,0.36
module_0,0.0,9.97,88.82,1.21
module_0,0.0,13.75,86.25,0.0
module_0,0.0,12.08,87.92,0.0
module_0,0.0,12.16,87.84,0.0
module_0,0.0,12.77,87.23,0.0
module_0,0.0,14.41,85.59,0.0
module_0,0.0,12.47,87.53,0.0
module_0,0.0,13.21,86.79,0.0
module_0,0.0,76.08,23.92,0.0
module_0,0.0,69.29,30.71,0.0
module_0,0.0,58.74,41.26,0.0
module_0,0.0,70.08,29.92,0.0
module_0,0.0,51.53,48.47,0.0
module_0,0.0,43.86,56.14,0.0
module_0,0.0,28.99,71.01,0.0
module_0,0.0,21.75,78.25,0.0
module_0,0.0,36.63,63.37,0.0
module_0,0.0,15.07,84.93,0.0
module_0,0.0,9.7,67.21,23.1
module_0,0.0,9.62,39.86,50.52
module_0,0.0,9.62,36.03,54.36
module_0,0.0,9.62,36.08,54.3
module_0,0.0,9.7,52.11,38.19
module_0,0.0,10.0,89.04,0.96
module_0,0.0,10.14,76.88,12.99
module_0,0.0,9.7,55.48,34.82
module_0,0.0,9.7,56.11,34.19
module_0,0.0,9.73,64.0,26.27
module_0,0.0,9.7,49.92,40.38
module_0,0.0,9.7,54.55,35.75
module_0,0.0,9.7,50.44,39.86
module_0,0.0,9.7,66.19,24.11
module_0,0.0,9.7,59.84,30.47
module_0,0.0,9.75,71.64,18.6
module_0,0.0,58.44,41.56,0.0
module_0,0.0,55.73,44.27,0.0
module_0,0.0,50.25,49.75,0.0
module_0,0.0,53.12,46.88,0.0
module_0,0.0,38.82,61.18,0.0
module_0,0.0,44.66,55.34,0.0
module_0,0.0,25.34,74.66,0.0
module_0,0.0,34.71,65.29,0.0
module_0,0.0,22.63,77.37,0.0
module_0,0.0,55.51,44.49,0.0
module_0,0.0,17.48,82.52,0.0
module_0,0.0,17.75,82.25,0.0
module_0,0.0,15.95,84.05,0.0
module_0,0.0,9.78,77.53,12.68
module_0,0.0,9.7,61.59,28.71
module_0,0.0,12.16,87.81,0.03
module_0,0.0,11.32,88.58,0.11
module_0,0.0,13.1,86.9,0.0
module_0,0.0,14.55,85.45,0.0
module_0,0.0,9.78,78.49,11.73
module_0,0.0,10.14,89.62,0.25
module_0,0.0,9.73,72.11,18.16
module_0,0.0,10.55,89.04,0.41
module_0,0.0,10.08,88.36,1.56
module_0,0.0,18.93,81.07,0.0
module_0,0.0,35.56,64.44,0.0
module_0,0.0,31.86,68.14,0.0
module_0,0.0,36.93,62.3,0.77
module_0,0.0,19.48,80.52,0.0
module_0,0.0,17.89,79.84,2.27
module_0,0.0,19.53,73.29,7.18
module_0,0.0,19.84,80.16,0.0
module_0,0.0,18.77,77.29,3.95
module_0,0.0,20.0,72.22,7.78
