module,rotation,UDI-f,UDI-a,UDI-e
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,12.03,87.97,0
module_2_1,0,10.99,89.01,0
module_2_1,0,9.53,90.47,0
module_2_1,0,8.16,91.84,0
module_2_1,0,6.66,93.34,0
module_2_1,0,10.93,89.07,0
module_2_1,0,9.84,90.16,0
module_2_1,0,8.77,91.23,0
module_2_1,0,7.64,92.36,0
module_2_1,0,6.66,93.34,0
module_2_1,0,9.75,90.25,0
module_2_1,0,9.26,90.74,0
module_2_1,0,8.16,91.84,0
module_2_1,0,7.53,92.47,0
module_2_1,0,6.96,93.04,0
module_2_1,0,9.29,90.71,0
module_2_1,0,8.79,91.21,0
module_2_1,0,7.92,92.08,0
module_2_1,0,7.29,92.71,0
module_2_1,0,9.59,90.41,0
module_2_1,0,9.45,90.55,0
module_2_1,0,8.77,91.23,0
module_2_1,0,7.81,92.19,0
module_2_1,0,6.82,93.18,0
module_2_1,0,6.41,86.49,7.1
module_2_1,0,9.67,90.33,0
module_2_1,0,8.9,91.1,0
module_2_1,0,7.95,92.05,0
module_2_1,0,6.77,93.23,0
module_2_1,0,6.36,78.16,15.48
module_2_1,0,10.38,89.62,0
module_2_1,0,9.34,90.66,0
module_2_1,0,8.49,91.51,0
module_2_1,0,7.86,92.14,0
module_2_1,0,12.58,87.42,0
module_2_1,0,55.59,44.41,0
module_2_1,0,42.16,57.84,0
module_2_1,0,31.64,68.36,0
module_2_1,0,37.23,62.77,0
module_2_1,0,97.1,2.9,0
module_2_1,0,49.53,50.47,0
module_2_1,0,29.01,70.99,0
module_2_1,0,23.32,76.68,0
module_2_1,0,24.52,75.48,0
module_2_1,0,75.97,24.03,0
module_2_1,0,49.89,50.11,0
module_2_1,0,31.04,68.96,0
module_2_1,0,23.18,76.82,0
module_2_1,0,22.88,77.12,0
module_2_1,0,77.75,22.25,0
module_2_1,0,57.32,42.68,0
module_2_1,0,34.58,65.42,0
module_2_1,0,31.84,68.16,0
module_2_1,0,43.59,56.41,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,12.85,87.15,0
module_2_1,0,11.26,88.74,0
module_2_1,0,9.95,90.05,0
module_2_1,0,8.99,91.01,0
module_2_1,0,8.16,91.84,0
module_2_1,0,7.42,92.58,0
module_2_1,0,13.26,86.74,0
module_2_1,0,11.64,88.36,0
module_2_1,0,9.75,90.25,0
module_2_1,0,8.79,91.21,0
module_2_1,0,7.95,92.05,0
module_2_1,0,7.04,92.96,0
module_2_1,0,13.95,86.05,0
module_2_1,0,11.45,88.55,0
module_2_1,0,9.7,90.3,0
module_2_1,0,8.77,91.23,0
module_2_1,0,7.64,92.36,0
module_2_1,0,6.79,93.21,0
module_2_1,0,15.37,84.63,0
module_2_1,0,6.77,93.23,0
module_2_1,0,19.95,80.05,0
module_2_1,0,62.99,37.01,0
module_2_1,0,13.56,86.44,0
module_2_1,0,13.21,86.79,0
module_2_1,0,14.05,85.95,0
module_2_1,0,12.99,87.01,0
module_2_1,0,11.04,88.96,0
module_2_1,0,13.89,86.11,0
module_2_1,0,13.73,86.27,0
module_2_1,0,13.7,86.3,0
module_2_1,0,11.56,88.44,0
module_2_1,0,13.81,86.19,0
module_2_1,0,13.81,86.19,0
module_2_1,0,10.58,89.42,0
module_2_1,0,9.37,90.63,0
module_2_1,0,9.7,90.3,0
module_2_1,0,8.93,91.07,0
module_2_1,0,7.62,92.38,0
module_2_1,0,8.16,91.84,0
module_2_1,0,7.12,92.88,0
module_2_1,0,8.41,91.59,0
module_2_1,0,6.77,93.23,0
module_2_1,0,7.89,92.11,0
module_2_1,0,6.6,93.01,0.38
module_2_1,0,6.47,92.49,1.04
module_2_1,0,6.6,92.99,0.41
module_2_1,0,6.66,93.34,0
module_2_1,0,6.74,93.26,0
module_2_1,0,14.79,85.21,0
module_2_1,0,15.97,84.03,0
module_2_1,0,15.07,84.93,0
module_2_1,0,16.88,83.12,0
module_2_1,0,13.23,86.77,0
module_2_1,0,33.32,66.68,0
module_2_1,0,13.48,86.52,0
module_2_1,0,20.74,79.26,0
module_2_1,0,90.55,9.45,0
module_2_1,0,100,0,0
module_2_1,0,90.03,9.97,0
module_2_1,0,60.71,39.29,0
module_2_1,0,64.19,35.81,0
module_2_1,0,100,0,0
module_2_1,0,30.11,69.89,0
module_2_1,0,80.63,19.37,0
module_2_1,0,8.79,91.21,0
module_2_1,0,8,92,0
module_2_1,0,6.38,91.95,1.67
module_2_1,0,6.47,92.99,0.55
module_2_1,0,7.07,92.93,0
module_2_1,0,6.38,92.03,1.59
module_2_1,0,10.14,89.86,0
module_2_1,0,100,0,0
module_2_1,0,6.74,93.26,0
module_2_1,0,9.51,90.49,0
module_2_1,0,6.99,93.01,0
module_2_1,0,6.38,73.86,19.75
module_2_1,0,6.36,54.49,39.15
module_2_1,0,6.36,49.73,43.92
module_2_1,0,6.36,56.96,36.68
module_2_1,0,6.41,79.73,13.86
module_2_1,0,7.1,91.37,1.53
module_2_1,0,6.63,85.23,8.14
module_2_1,0,6.47,79.42,14.11
module_2_1,0,6.44,73.07,20.49
module_2_1,0,6.41,74.22,19.37
module_2_1,0,6.38,81.53,12.08
module_2_1,0,7.64,91.32,1.04
module_2_1,0,6.9,88.96,4.14
module_2_1,0,6.74,85.7,7.56
module_2_1,0,6.63,83.23,10.14
module_2_1,0,6.52,84.79,8.68
module_2_1,0,6.38,85.48,8.14
module_2_1,0,7.81,91.4,0.79
module_2_1,0,7.26,90.66,2.08
module_2_1,0,6.88,89.92,3.21
module_2_1,0,6.71,90.25,3.04
module_2_1,0,6.6,90.3,3.1
module_2_1,0,6.38,90.19,3.42
module_2_1,0,8.05,91.67,0.27
module_2_1,0,7.64,91.42,0.93
module_2_1,0,7.01,91.92,1.07
module_2_1,0,6.79,92.22,0.99
module_2_1,0,6.63,92.3,1.07
module_2_1,0,6.38,91.89,1.73
module_2_1,0,8.41,91.59,0
module_2_1,0,7.81,92.11,0.08
module_2_1,0,7.29,92.71,0
module_2_1,0,6.85,93.15,0
module_2_1,0,6.63,93.32,0.05
module_2_1,0,6.44,92.79,0.77
module_2_1,0,8.79,91.21,0
module_2_1,0,8.08,91.92,0
module_2_1,0,7.53,92.47,0
module_2_1,0,6.99,93.01,0
module_2_1,0,6.63,93.37,0
module_2_1,0,6.52,93.34,0.14
module_2_1,0,9.75,90.25,0
module_2_1,0,17.18,82.82,0
module_2_1,0,34.44,65.56,0
module_2_1,0,59.34,40.66,0
module_2_1,0,81.23,18.77,0
module_2_1,0,98.47,1.53,0
module_2_1,0,99.29,0.71,0
module_2_1,0,98.88,1.12,0
module_2_1,0,9.04,90.96,0
module_2_1,0,8.9,91.1,0
module_2_1,0,8.22,91.78,0
module_2_1,0,8.3,91.7,0
module_2_1,0,8.11,91.89,0
module_2_1,0,6.47,88.19,5.34
module_2_1,0,7.56,92.44,0
module_2_1,0,8,92,0
module_2_1,0,6.36,46.27,47.37
module_2_1,0,8,92,0
module_2_1,0,8.14,91.86,0
module_2_1,0,8.47,91.53,0
module_2_1,0,8.9,91.1,0
module_2_1,0,8.19,91.81,0
module_2_1,0,8.25,91.75,0
module_2_1,0,8.47,91.53,0
module_2_1,0,9.07,90.93,0
module_2_1,0,8.6,91.4,0
module_2_1,0,9.32,90.68,0
module_2_1,0,8.11,91.89,0
module_2_1,0,6.36,42.96,50.68
module_2_1,0,6.36,42.11,51.53
module_2_1,0,6.36,38.63,55.01
module_2_1,0,6.36,37.73,55.92
module_2_1,0,6.66,90.38,2.96
module_2_1,0,6.6,92.88,0.52
module_2_1,0,6.38,86.79,6.82
module_2_1,0,6.38,83.34,10.27
module_2_1,0,6.38,78.49,15.12
module_2_1,0,6.38,81.4,12.22
module_2_1,0,6.38,82.36,11.26
module_2_1,0,6.38,84.58,9.04
module_2_1,0,6.38,87.7,5.92
module_2_1,0,6.38,90.14,3.48
module_2_1,0,6.38,77.4,16.22
module_2_1,0,6.36,77.37,16.27
module_2_1,0,6.38,80.08,13.53
module_2_1,0,6.38,86.82,6.79
module_2_1,0,6.38,84.58,9.04
module_2_1,0,6.38,92.08,1.53
module_2_1,0,11.4,88.6,0
module_2_1,0,19.53,80.47,0
module_2_1,0,15.67,84.33,0
module_2_1,0,44.93,55.07,0
module_2_1,0,24.79,75.21,0
module_2_1,0,65.23,34.77,0
module_2_1,0,32.9,67.1,0
module_2_1,0,42.22,57.78,0
module_2_1,0,71.84,28.16,0
module_2_1,0,9.45,90.55,0
module_2_1,0,97.84,2.16,0
module_2_1,0,98.49,1.51,0
module_2_1,0,97.86,2.14,0
module_2_1,0,98.19,1.81,0
module_2_1,0,97.92,2.08,0
module_2_1,0,98.77,1.23,0
module_2_1,0,99.97,0.03,0
module_2_1,0,97.84,2.16,0
