module,rotation,UDI-f,UDI-a,UDI-e
module_2_1,0,10.38,89.62,0
module_2_1,0,6.36,44.63,28.85
module_2_1,0,6.36,51.75,46.47
module_2_1,0,6.36,36.22,49.78
module_2_1,0,6.52,64.79,39.89
module_2_1,0,7.23,92.77,0
module_2_1,0,6.47,78.41,11.07
module_2_1,0,6.38,66.79,22
module_2_1,0,6.38,61.75,29.04
module_2_1,0,6.49,64.49,27.18
module_2_1,0,7.62,90.58,0.99
module_2_1,0,6.85,84.38,6.6
module_2_1,0,6.71,79.12,13.1
module_2_1,0,6.71,74.03,15.92
module_2_1,0,6.82,74.05,18
module_2_1,0,8.68,89.1,1.78
module_2_1,0,7.7,86.14,5.75
module_2_1,0,7.23,83.62,8.25
module_2_1,0,7.23,81.4,10.14
module_2_1,0,7.42,80.66,10.55
module_2_1,0,9.37,88.27,1.84
module_2_1,0,8.66,86.96,4.27
module_2_1,0,8.05,84.36,5.97
module_2_1,0,8.08,84.19,7.18
module_2_1,0,8.6,84.66,7.23
module_2_1,0,74,26,0
module_2_1,0,49.29,50.71,0
module_2_1,0,66.93,32.44,2.55
module_2_1,0,16.33,83.67,0
module_2_1,0,12.68,83.29,1.84
module_2_1,0,16.88,76.41,6.9
module_2_1,0,16.27,83.26,0
module_2_1,0,14.25,81.48,3.37
module_2_1,0,16.79,77.48,6.33
module_2_1,0,25.23,73.62,0.96
module_2_1,0,20.93,75.18,3.64
module_2_1,0,24.22,73.07,2.88
module_2_1,0,35.21,63.59,0.79
module_2_1,0,27.67,69.42,2.19
module_2_1,0,43.53,55.18,1.51
module_2_1,0,6.38,86.9,5.07
module_2_1,0,6.36,67.07,22.08
module_2_1,0,6.36,58.55,31.53
module_2_1,0,6.36,53.89,35.21
module_2_1,0,6.36,55.51,33.81
module_2_1,0,6.36,56.74,31.07
module_2_1,0,6.36,60.82,25.42
module_2_1,0,6.36,72.74,11.32
module_2_1,0,8.74,91.26,0
module_2_1,0,6.79,87.75,2.52
module_2_1,0,6.41,73.95,15.1
module_2_1,0,6.38,63.7,24.03
module_2_1,0,6.38,62.52,27.15
module_2_1,0,6.47,69.73,23.04
module_2_1,0,6.63,84.63,10.3
module_2_1,0,8.99,91.01,0
module_2_1,0,7.7,89.01,2.22
module_2_1,0,6.85,84.44,7.89
module_2_1,0,6.71,81.51,10.41
module_2_1,0,6.63,79.12,12.52
module_2_1,0,6.63,80.74,11.37
module_2_1,0,6.58,87.23,6.49
module_2_1,0,9.7,90.11,0.03
module_2_1,0,8.55,89.92,1.1
module_2_1,0,7.59,88.27,3.53
module_2_1,0,7.15,87.37,3.97
module_2_1,0,6.88,86.71,5.21
module_2_1,0,6.71,89.32,3.84
module_2_1,0,6.52,89.56,2.44
module_2_1,0,10.27,89.4,0
module_2_1,0,9.34,89.89,0.33
module_2_1,0,8.38,90.25,0.82
module_2_1,0,7.59,90.52,0.88
module_2_1,0,7.1,91.32,1.29
module_2_1,0,6.79,91.4,1.48
module_2_1,0,6.58,91.62,0.77
module_2_1,0,11.89,88.11,0
module_2_1,0,10.16,89.84,0
module_2_1,0,8.99,90.74,0
module_2_1,0,8.11,91.7,0.33
module_2_1,0,7.42,92.22,0.22
module_2_1,0,6.88,92.9,0.03
module_2_1,0,6.6,93.37,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,99.67,0.33,0
module_2_1,0,91.45,8.55,0
module_2_1,0,71.95,28.05,0
module_2_1,0,46.63,53.37,0
module_2_1,0,27.67,72.33,0
module_2_1,0,18.68,81.32,0
module_2_1,0,13.62,86.38,0
module_2_1,0,11.37,88.63,0
module_2_1,0,9.56,90.44,0
module_2_1,0,8.66,91.34,0
module_2_1,0,7.64,92.36,0
module_2_1,0,7.04,92.96,0
module_2_1,0,6.63,93.37,0
module_2_1,0,12.38,87.62,0
module_2_1,0,9.62,90.38,0
module_2_1,0,9.81,90.19,0
module_2_1,0,10.44,89.56,0
module_2_1,0,14.11,85.89,0
module_2_1,0,10.05,89.95,0
module_2_1,0,10.74,89.26,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,60.19,39.81,0
module_2_1,0,30.79,69.21,0
module_2_1,0,91.26,8.74,0
module_2_1,0,14.22,85.78,0
module_2_1,0,6.41,76.47,1.89
module_2_1,0,6.36,45.97,47.75
module_2_1,0,6.36,43.32,53.53
module_2_1,0,6.36,43.53,53.67
module_2_1,0,6.41,64.33,40.22
module_2_1,0,6.99,93.01,0
module_2_1,0,7.26,86.08,7.59
module_2_1,0,6.38,88.16,7.59
module_2_1,0,6.38,87.81,4.58
module_2_1,0,6.55,87.89,5.86
module_2_1,0,6.38,84.88,8.96
module_2_1,0,6.38,87.97,6.38
module_2_1,0,6.38,85.48,8.3
module_2_1,0,6.38,92.08,1.53
module_2_1,0,6.38,90.19,3.59
module_2_1,0,6.63,90.11,3.62
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,100,0,0
module_2_1,0,77.21,22.79,0
module_2_1,0,95.01,4.99,0
module_2_1,0,41.32,58.68,0
module_2_1,0,71.01,28.99,0
module_2_1,0,28.38,71.62,0
module_2_1,0,100,0,0
module_2_1,0,18.82,81.18,0
module_2_1,0,18.71,81.29,0
module_2_1,0,15.07,84.93,0
module_2_1,0,6.52,93.12,0.27
module_2_1,0,6.38,90.36,2.99
module_2_1,0,8.96,91.04,0
