Sun And Wind,Sun and No Wind,No Sun and Wind,No Sun and No Wind
-17.370433,3.981951,-17.267406,4.10954
-15.830352,5.028138,-15.828648,5.030222
-15.664912,5.136738,-15.68204,5.115804
-16.413227,4.784238,-16.594032,4.562533
-16.51079,4.758481,-16.741868,4.47511
-16.753145,4.461253,-16.741868,4.47511
-16.82952,4.461287,-16.903448,4.370384
-16.94743,4.316014,-16.917129,4.353339
-16.780904,4.426926,-16.769657,4.440771
-16.969269,4.19473,-16.783912,4.423439
-16.064542,5.584962,-17.281616,4.092297
-16.065288,5.861378,-17.763637,3.777544
-16.41841,5.711682,-18.258297,3.444767
-15.68777,5.859958,-16.989164,4.266441
-15.890458,5.427157,-16.667036,4.474952
-18.547089,2.892443,-17.96699,3.620721
-18.381111,3.005488,-17.763637,3.777544
-19.86621,2.176351,-19.494605,2.647075
-19.603477,2.604952,-19.629193,2.572496
-19.546854,2.675769,-19.641265,2.556574
-19.553978,2.760754,-19.800156,2.449859
-19.312808,2.876279,-19.494605,2.647075
-19.422083,2.643934,-19.348208,2.737217
-20.141808,2.01427,-19.837446,2.401559
-20.297056,1.910792,-20.008678,2.278632
-21.532607,0.891078,-20.955149,1.636867
-21.367981,1.008473,-20.810366,1.727987
-21.594619,0.910221,-21.06524,1.592199
-23.046402,-0.130872,-22.48514,0.604438
-23.350554,-0.154641,-23.126883,0.140101
-24.087267,-0.753634,-23.753874,-0.310234
-23.789785,-0.54495,-23.425308,-0.062727
-23.286226,-0.065618,-23.095866,0.184454
-22.893653,0.262359,-22.775514,0.416756
-21.243303,2.204873,-22.474603,0.619354
-21.269223,2.079076,-22.329416,0.712865
-20.969229,2.275798,-22.028425,0.9142
-20.103396,3.36925,-22.017376,0.929429
-19.719568,3.755771,-21.839404,1.067776
-21.640483,1.325466,-21.828889,1.082703
-22.289586,0.388924,-21.682703,1.175937
-21.09346,1.462757,-20.896407,1.715203
-21.629324,0.770124,-20.907713,1.699782
-21.806067,0.636003,-21.06524,1.592199
-21.27805,1.224169,-20.907713,1.699782
-21.454783,1.090994,-21.06524,1.592199
-21.132274,1.507257,-21.05403,1.607557
-20.852485,1.771351,-20.896407,1.715203
-20.59576,2.005853,-20.727418,1.838107
-20.629958,1.962318,-20.727418,1.838107
-20.177696,2.254481,-20.264154,2.14472
-20.034316,2.342271,-20.105662,2.251829
-20.173432,2.163883,-20.141691,2.204268
-21.344054,1.325338,-21.281452,1.406168
-22.813189,0.169994,-22.564925,0.496447
-23.203087,0.03682,-23.182818,0.063604
-23.904688,-0.514053,-23.808693,-0.386073
-24.657658,-1.142095,-24.419152,-0.821341
-23.957622,-0.110494,-24.560373,-0.915256
-23.69693,0.328187,-24.701801,-1.00952
-22.602085,1.847939,-24.843427,-1.104129
-22.716905,1.792554,-25.00516,-1.228177
-24.135067,0.122674,-25.307554,-1.44711
-24.830671,-0.710687,-25.468294,-1.571203
-26.673131,-2.936349,-25.90937,-1.885747
-27.399849,-3.655893,-26.340227,-2.187568
-27.453047,-3.439606,-26.778976,-2.504628
-27.904816,-3.983802,-26.944093,-2.641898
-28.021787,-4.154796,-26.96134,-2.669303
-27.900087,-3.890905,-27.126925,-2.807137
-28.570391,-4.565615,-27.613745,-3.207519
-29.17526,-5.253507,-27.954167,-3.499636
-29.93126,-6.075,-28.42789,-3.88701
-29.680611,-6.185341,-27.633345,-3.236586
-29.44597,-6.311161,-26.822245,-2.573231
-32.314991,-8.667257,-29.777718,-4.867615
-33.513292,-9.530963,-31.162705,-5.941362
-34.701414,-10.51157,-32.380843,-6.897454
-35.660417,-11.055089,-33.712125,-7.967441
-36.582965,-11.879029,-34.629578,-8.727087
-37.080694,-11.915036,-35.658254,-9.594508
-37.945607,-12.676029,-36.540793,-10.343599
-34.422493,-7.300074,-36.164374,-10.023637
-32.48582,-4.768883,-35.658254,-9.594508
-31.081913,-3.009957,-35.275635,-9.274454
-30.482846,-2.598213,-34.634783,-8.752769
-31.125965,-3.868431,-34.117901,-8.333476
-32.16481,-5.845251,-33.469132,-7.816154
-36.61508,-12.372887,-34.117901,-8.333476
-37.232076,-12.901825,-34.764346,-8.862042
-37.779785,-13.31446,-35.403724,-9.383721
-39.591455,-14.790213,-37.52435,-11.222972
-41.416425,-16.334589,-39.652199,-13.143886
-43.052481,-17.770985,-41.550447,-14.926555
-43.66688,-18.189024,-42.40402,-15.754313
-44.325433,-18.820795,-43.131463,-16.47159
-44.845956,-19.090838,-43.941234,-17.283255
-39.984668,-14.579193,-38.607264,-12.180231
-34.617475,-10.32301,-32.350403,-6.815473
-44.720071,-18.637209,-44.140167,-17.484826
-44.554785,-18.20897,-44.239117,-17.58541
-44.554785,-18.20897,-44.239117,-17.58541
-44.667003,-18.338577,-44.337724,-17.685861
-44.62106,-18.246639,-44.337724,-17.685861
-44.416542,-17.934299,-44.239117,-17.58541
-44.439569,-17.979875,-44.239117,-17.58541
-42.429127,-15.077388,-43.23393,-16.57352
-40.58453,-12.602236,-42.298631,-15.651309
-38.3163,-9.67749,-41.224139,-14.613973
-36.472807,-7.514806,-40.224552,-13.669308
-35.537062,-6.745063,-39.309735,-12.821209
-36.447214,-8.927614,-38.250761,-11.858247
-41.112549,-16.280449,-39.071262,-12.616631
-41.888882,-16.968641,-39.983125,-13.47189
-42.522725,-17.512305,-40.757004,-14.211837
-42.590692,-17.543874,-40.867075,-14.316026
-42.684788,-17.627406,-40.976768,-14.420088
-42.752481,-17.659097,-41.086083,-14.524025
-43.006635,-17.857611,-41.411773,-14.835075
