19 Mar 08:00,19 Mar 09:00,19 Mar 10:00,19 Mar 11:00,19 Mar 12:00,19 Mar 13:00,19 Mar 14:00,19 Mar 15:00,19 Mar 16:00,19 Mar 17:00,19 Mar 18:00,19 Mar 19:00,19 Mar 20:00,19 Mar 21:00,19 Mar 22:00,20 Mar 08:00,20 Mar 09:00,20 Mar 10:00,20 Mar 11:00,20 Mar 12:00,20 Mar 13:00,20 Mar 14:00,20 Mar 15:00,20 Mar 16:00,20 Mar 17:00,20 Mar 18:00,20 Mar 19:00,20 Mar 20:00,20 Mar 21:00,20 Mar 22:00,21 Mar 08:00,21 Mar 09:00,21 Mar 10:00,21 Mar 11:00,21 Mar 12:00,21 Mar 13:00,21 Mar 14:00,21 Mar 15:00,21 Mar 16:00,21 Mar 17:00,21 Mar 18:00,21 Mar 19:00,21 Mar 20:00,21 Mar 21:00,21 Mar 22:00,22 Mar 08:00,22 Mar 09:00,22 Mar 10:00,22 Mar 11:00,22 Mar 12:00,22 Mar 13:00,22 Mar 14:00,22 Mar 15:00,22 Mar 16:00,22 Mar 17:00,22 Mar 18:00,22 Mar 19:00,22 Mar 20:00,22 Mar 21:00,22 Mar 22:00,23 Mar 08:00,23 Mar 09:00,23 Mar 10:00,23 Mar 11:00,23 Mar 12:00,23 Mar 13:00,23 Mar 14:00,23 Mar 15:00,23 Mar 16:00,23 Mar 17:00,23 Mar 18:00,23 Mar 19:00,23 Mar 20:00,23 Mar 21:00,23 Mar 22:00,24 Mar 08:00,24 Mar 09:00,24 Mar 10:00,24 Mar 11:00,24 Mar 12:00,24 Mar 13:00,24 Mar 14:00,24 Mar 15:00,24 Mar 16:00,24 Mar 17:00,24 Mar 18:00,24 Mar 19:00,24 Mar 20:00,24 Mar 21:00,24 Mar 22:00,25 Mar 08:00,25 Mar 09:00,25 Mar 10:00,25 Mar 11:00,25 Mar 12:00,25 Mar 13:00,25 Mar 14:00,25 Mar 15:00,25 Mar 16:00,25 Mar 17:00,25 Mar 18:00,25 Mar 19:00,25 Mar 20:00,25 Mar 21:00,25 Mar 22:00
30.694532,39.50223,42.990965,43.527693,43.107184,42.984653,42.562507,42.133648,39.660362,32.568413,16.219889,5.012675,3.871986,2.977709,2.421791,28.392558,36.77656,40.228411,39.996779,37.541514,38.020724,36.736755,33.5694,30.909975,24.625665,15.889251,5.831833,4.8376,3.142737,2.495382,30.249114,38.375235,41.835538,43.588611,43.460781,41.618896,42.824409,42.223058,39.925937,33.072375,17.455547,6.521302,6.36963,6.085315,5.914726,33.412277,41.481816,45.61919,46.829717,46.756923,45.820019,45.657716,44.451951,41.606115,34.22742,18.524835,8.378281,7.222574,5.857863,4.493152,31.491363,38.013759,44.0589,45.519985,43.31965,42.020741,44.622431,43.436385,34.913536,22.488304,13.765369,12.238111,12.063529,11.489668,12.917168,31.326369,37.839458,44.048303,48.615315,47.386352,44.872036,44.329267,40.458272,40.303042,33.524875,18.081735,8.692804,7.651276,7.594413,8.333179,34.570988,43.967626,48.200284,48.921689,46.172104,45.641212,44.039879,42.92181,40.249656,35.603123,18.805481,8.692804,8.446905,8.192646,8.192646
30.868619,39.505897,42.842809,43.26327,42.781495,42.642455,42.257556,41.927024,39.626865,32.768812,16.683232,5.571982,4.39997,3.499773,2.952587,28.496611,36.702371,39.961629,39.528068,36.852784,37.250862,35.884102,32.87835,30.376395,24.461876,16.038058,6.18286,5.199505,3.565956,2.943654,30.324284,38.264307,41.587506,43.257948,43.073611,41.167428,42.467675,41.963263,39.84537,33.233107,17.875748,7.012923,6.847345,6.550951,6.373115,33.491501,41.37696,45.401546,46.516753,46.396549,45.417555,45.30608,44.197624,41.49814,34.366631,18.936204,8.928314,7.736525,6.313836,4.891148,31.440265,37.65822,43.337015,44.527552,42.222625,40.977741,43.693049,42.740875,34.499864,22.427508,13.955832,12.443182,12.205575,11.669452,13.017009,31.206865,37.493357,43.590836,47.980345,46.728459,44.065372,43.506909,39.889371,39.879232,33.374513,18.281107,9.057218,8.062817,8.003538,8.695331,34.45143,43.61267,47.831584,48.460516,45.575359,45.024728,43.484941,42.464023,39.954403,35.627589,19.030048,9.057218,8.813889,8.568269,8.568269
31.04161,39.509541,42.695587,43.000514,42.457856,42.302411,41.954525,41.721701,39.593579,32.967949,17.143658,6.127766,4.924629,4.018549,3.480039,28.600008,36.628648,39.696528,39.062309,36.168392,36.485848,35.03682,32.191653,29.846176,24.299119,16.185927,6.531677,5.559131,3.98651,3.389103,30.39898,38.154077,41.341037,42.929368,42.688879,40.718804,42.113188,41.705103,39.76531,33.392828,18.293302,7.501449,7.322051,7.013655,6.828617,33.570225,41.272765,45.185272,46.20576,46.038445,45.017626,44.956659,43.944899,41.390846,34.504966,19.344982,9.474882,8.24724,6.766938,5.286636,31.38949,37.30492,42.619676,43.541368,41.132508,39.941309,42.769521,42.049744,34.088797,22.367094,14.145096,12.646963,12.346727,11.848104,13.116222,31.088114,37.149436,43.136251,47.349374,46.07471,43.263788,42.689729,39.324052,39.458091,33.225098,18.479224,9.419337,8.471766,8.410086,9.055203,34.332624,43.259949,47.465205,48.002248,44.982371,44.412128,42.933499,42.009118,39.66101,35.6519,19.253201,9.419337,9.178562,8.941526,8.941526
31.218478,39.513267,42.545066,42.731869,42.126965,41.954748,41.644704,41.511777,39.559547,33.171548,17.614401,6.696005,5.461045,4.54895,4.019311,28.705722,36.553274,39.425485,38.586113,35.468664,35.703691,34.170551,31.489567,29.304075,24.132714,16.337109,6.888311,5.926816,4.416488,3.844533,30.47535,38.041378,41.089044,42.593425,42.295525,40.260126,41.750757,41.441159,39.683456,33.556127,18.720214,8.000921,7.807395,7.486727,7.294326,33.650714,41.166234,44.964152,45.887798,45.672317,44.608735,44.599408,43.68651,41.281148,34.6464,19.76292,10.033699,8.769398,7.230193,5.690987,31.337577,36.943704,41.886263,42.533086,40.017964,38.881653,41.825298,41.343126,33.668518,22.305326,14.338601,12.85531,12.491042,12.030759,13.217658,30.966702,36.797808,42.671479,46.704264,45.40631,42.444241,41.854237,38.746066,39.027513,33.072334,18.681781,9.78957,8.889878,8.825745,9.423139,34.211156,42.899324,47.090617,47.533711,44.376096,43.785799,42.3697,41.54402,39.361043,35.676756,19.481355,9.78957,9.551407,9.323147,9.323147
31.490414,39.518996,42.313638,42.318824,41.618216,41.420211,41.16835,41.189017,39.507223,33.484584,18.338174,7.569679,6.285792,5.364448,4.848449,28.868259,36.437384,39.008755,37.853955,34.392823,34.501115,32.838652,30.410102,28.470589,23.876864,16.569555,7.436639,6.492135,5.077584,4.544763,30.59277,37.868101,40.701602,42.076908,41.690739,39.554904,41.193516,41.035341,39.557605,33.807202,19.376596,8.768867,8.553617,8.214081,8.01036,33.774467,41.002442,44.624177,45.398927,45.109389,43.98006,44.05013,43.289234,41.112484,34.863856,20.405505,10.892886,9.572224,7.942453,6.312682,31.257759,36.388328,40.758632,40.982838,38.304337,37.252417,40.373543,40.256693,33.022334,22.210358,14.636117,13.175645,12.712928,12.311593,13.373617,30.780029,36.257175,41.956886,45.712399,44.378638,41.184178,40.569659,37.857405,38.365494,32.837458,18.993214,10.358808,9.532732,9.464825,9.988846,34.024398,42.344859,46.514682,46.813329,43.44394,42.822812,41.502851,40.828926,38.899839,35.714972,19.832144,10.358808,10.12466,9.909895,9.909895
30.792798,39.5043,42.907336,43.378436,42.923344,42.791495,42.390373,42.017016,39.641454,32.681531,16.481429,5.328383,4.170014,3.272395,2.721406,28.451292,36.734683,40.077822,39.732209,37.152751,37.586165,36.255463,33.179328,30.608788,24.533212,15.973247,6.029975,5.041882,3.381629,2.748415,30.291545,38.31262,41.695533,43.401964,43.242238,41.364059,42.623046,42.076413,39.88046,33.163102,17.692735,6.798804,6.639283,6.34815,6.17347,33.456996,41.422629,45.496338,46.653061,46.553505,45.592843,45.45923,44.308393,41.545167,34.306,18.757037,8.688755,7.512681,6.115243,4.717806,31.46252,37.81307,43.651422,44.959793,42.700419,41.432006,44.097829,43.043795,34.680033,22.453987,13.872878,12.353866,12.143709,11.591149,12.973524,31.258914,37.644097,43.790079,48.256898,47.014995,44.416703,43.865076,40.137148,40.063817,33.440001,18.194273,8.898503,7.883576,7.825349,8.537601,34.503502,43.767266,47.992166,48.661374,45.835263,45.293229,43.726637,42.663406,40.082996,35.616933,18.932241,8.898503,8.654054,8.404671,8.404671
30.891563,39.506381,42.823283,43.228421,42.738571,42.597355,42.217365,41.899792,39.62245,32.795223,16.744298,5.645695,4.469555,3.568578,3.022542,28.510324,36.692593,39.926469,39.466295,36.762014,37.149399,35.771728,32.787275,30.306073,24.44029,16.057669,6.229123,5.247202,3.621734,3.002733,30.334191,38.249687,41.554817,43.214369,43.022584,41.107928,42.42066,41.929024,39.834752,33.254291,17.931127,7.077716,6.910304,6.612319,6.433528,33.501942,41.363141,45.372862,46.475507,46.349054,45.364513,45.259737,44.164105,41.48391,34.384978,18.990419,9.000804,7.804261,6.373931,4.943601,31.433531,37.611362,43.241875,44.396756,42.078044,40.840281,43.570563,42.649211,34.445345,22.419495,13.980934,12.470209,12.224296,11.693146,13.030168,31.191115,37.447743,43.530545,47.896661,46.641753,43.959059,43.398527,39.814393,39.823377,33.354696,18.307383,9.105245,8.117055,8.057458,8.743061,34.435673,43.565889,47.782991,48.399737,45.496712,44.94348,43.411804,42.40369,39.915491,35.630813,19.059644,9.105245,8.862255,8.617773,8.617773
31.139658,39.511607,42.612145,42.851589,42.274425,42.109683,41.782774,41.605329,39.574713,33.080815,17.404616,6.442771,5.221994,4.312579,3.778987,28.658611,36.586864,39.546274,38.798328,35.780495,36.052256,34.5566,31.802449,29.54566,24.206872,16.269735,6.729379,5.762958,4.22487,3.641572,30.441316,38.091602,41.201344,42.743137,42.470822,40.464534,41.912273,41.558785,39.719934,33.483353,18.529962,7.778333,7.591103,7.275904,7.086785,33.614845,41.213709,45.062693,46.029496,45.83548,44.790956,44.758616,43.80166,41.330034,34.58337,19.576667,9.784664,8.5367,7.023745,5.51079,31.360712,37.104678,42.213106,42.982423,40.514656,39.353885,42.246087,41.658028,33.855814,22.332853,14.252366,12.762461,12.426729,11.949359,13.172453,31.020809,36.954509,42.878602,46.991755,45.70418,42.809469,42.226571,39.003644,39.219399,33.140413,18.591512,9.624577,8.703548,8.640508,9.25917,34.265288,43.060035,47.25755,47.742512,44.64628,44.06492,42.620955,41.751289,39.494722,35.665679,19.379679,9.624577,9.38525,9.153079,9.153079
31.318964,39.515384,42.459549,42.579241,41.938973,41.757226,41.468682,41.392511,39.540212,33.287221,17.881849,7.018844,5.765805,4.850292,4.325694,28.765783,36.51045,39.271495,38.315566,35.07112,35.259316,33.678388,31.090684,28.996086,24.038172,16.423003,7.090929,6.135712,4.660776,4.103282,30.518739,37.977349,40.945877,42.402562,42.072045,39.999533,41.544846,41.291201,39.636952,33.648904,18.96276,8.284692,8.083138,7.755499,7.558915,33.696443,41.10571,44.838525,45.70715,45.464304,44.376427,44.396439,43.539709,41.218823,34.726754,20.000368,10.351185,9.066058,7.493387,5.920716,31.308083,36.738481,41.469581,41.960239,39.384745,38.279618,41.288846,40.941668,33.429741,22.270234,14.448539,12.97368,12.573033,12.134532,13.275288,30.897722,36.598033,42.407423,46.337751,45.026566,41.978623,41.37956,38.417689,38.782884,32.985543,18.796861,9.999915,9.127425,9.061897,9.632179,34.142146,42.694438,46.877797,47.267515,44.031646,43.429957,42.049382,41.279779,39.190619,35.690878,19.610978,9.999915,9.763235,9.539962,9.539962
31.742826,39.524313,42.098826,41.935436,41.145995,40.924054,40.726198,40.88943,39.458655,33.775145,19.009981,8.380624,7.051322,6.121394,5.618055,29.019126,36.329816,38.621945,37.174366,33.394227,33.384883,31.602382,29.408142,27.696946,23.639385,16.785311,7.945598,7.016865,5.691215,5.194718,30.701759,37.707265,40.341978,41.597477,41.129377,38.900317,40.676284,40.658661,39.440789,34.04025,19.98585,9.481674,9.246261,8.889212,8.674983,33.889334,40.85041,44.308612,44.945157,44.58688,43.396523,43.54029,42.920482,40.955931,35.0657,21.001953,11.690384,10.317407,8.603573,6.88974,31.183673,35.872828,39.711963,39.543898,36.713748,35.74016,39.026022,39.248264,32.422546,22.122209,14.912272,13.472981,12.918883,12.572264,13.518378,30.606759,35.755359,41.2936,44.791749,43.424753,40.014586,39.377311,37.03255,37.751008,32.619446,19.282286,10.887176,10.12943,10.05802,10.513935,33.851049,41.830204,45.980099,46.144669,42.578713,41.928966,40.698242,40.165175,38.471749,35.750445,20.157747,10.887176,10.656754,10.454515,10.454515
