03 Mar 08:00,03 Jun 08:00,03 Sep 08:00,03 Mar 12:00,03 Jun 12:00,03 Sep 12:00,03 Mar 16:00,03 Jun 16:00,03 Sep 16:00,03 Mar 20:00,03 Jun 20:00,03 Sep 20:00
0.048975,0.073096,0.064207,0.080814,0.109495,0.083478,0.063597,0.114975,0.071301,0,0.000397,0
0.045546,0.068347,0.059856,0.075194,0.105455,0.07806,0.061687,0.12634,0.068398,0,0.000399,0
0.043593,0.065507,0.057253,0.071716,0.103486,0.074488,0.060979,0.170135,0.067192,0,0.000404,0
0.044639,0.067205,0.058804,0.073452,0.107607,0.076616,0.066314,0.194793,0.165849,0,0.000428,0
0.045564,0.068806,0.060238,0.074587,0.112344,0.077951,0.113775,0.217868,0.291541,0,0.000459,0
0.04605,0.069822,0.061137,0.075516,0.114216,0.079112,0.133952,0.222916,0.294816,0,0.000469,0
0.047991,0.073021,0.063988,0.078635,0.119137,0.082456,0.142903,0.234659,0.303489,0,0.000489,0
0.049287,0.074939,0.065706,0.08082,0.121473,0.084667,0.14599,0.236717,0.30617,0,0.000495,0
0.044912,0.067327,0.058942,0.074425,0.098656,0.076555,0.056366,0.088965,0.063183,0,0.00035,0
0.041044,0.061977,0.054035,0.068083,0.094125,0.070425,0.053543,0.09099,0.058936,0,0.000352,0
0.039369,0.059654,0.051903,0.065178,0.093586,0.067722,0.053445,0.103656,0.058081,0,0.000365,0
0.038975,0.05907,0.051362,0.064467,0.094672,0.067212,0.054721,0.118673,0.05933,0,0.000378,0
0.039879,0.060445,0.052611,0.065489,0.100077,0.068523,0.062432,0.194769,0.160908,0,0.000416,0
0.043035,0.065554,0.05724,0.070787,0.108718,0.074392,0.129463,0.215589,0.289353,0,0.000455,0
0.043853,0.067063,0.058561,0.071961,0.111983,0.075669,0.137146,0.227801,0.29629,0,0.000473,0
0.045817,0.069898,0.061117,0.075219,0.11537,0.078943,0.140858,0.230444,0.299818,0,0.00048,0
0.053052,0.078751,0.069389,0.087146,0.118127,0.08992,0.069653,0.136577,0.078601,0,0.000427,0
0.049177,0.07341,0.064499,0.080707,0.114388,0.083766,0.069687,0.197521,0.146607,0,0.000437,0
0.047635,0.071322,0.06258,0.078149,0.11308,0.081331,0.070885,0.204825,0.172513,0,0.000443,0
0.050206,0.074834,0.065803,0.082605,0.113994,0.085465,0.067328,0.135076,0.075296,0,0.000421,0
0.048923,0.073071,0.06419,0.080542,0.111996,0.083423,0.066134,0.134003,0.073674,0,0.000418,0
0.048024,0.072167,0.063324,0.078537,0.116238,0.081866,0.116705,0.220409,0.296016,0,0.000466,0
0.048778,0.073556,0.064561,0.079897,0.118537,0.083455,0.137255,0.225655,0.299413,0,0.000477,0
0.051,0.07715,0.067769,0.083468,0.123907,0.087248,0.146169,0.237552,0.307997,0,0.000498,0
0.052008,0.079164,0.069476,0.085318,0.126816,0.089345,0.153694,0.243889,0.314167,0,0.00051,0
0.04941,0.074963,0.06577,0.080915,0.121408,0.084719,0.144859,0.236228,0.306236,0,0.000493,0
0.050805,0.077019,0.067612,0.083259,0.123864,0.087083,0.147672,0.238152,0.308461,0,0.000499,0
0.051962,0.079102,0.069418,0.085245,0.12671,0.089269,0.153362,0.243662,0.313645,0,0.00051,0
0.05196,0.079099,0.069416,0.085242,0.126709,0.089267,0.1534,0.243681,0.313707,0,0.00051,0
0.047528,0.071486,0.062701,0.077742,0.115428,0.081075,0.116109,0.219841,0.295083,0,0.000464,0
0.038562,0.05827,0.050679,0.063963,0.085644,0.065743,0.04822,0.074852,0.053652,0,0.00031,0
0.031865,0.049047,0.042228,0.053119,0.075942,0.055091,0.042336,0.071926,0.045464,0,0.000299,0
0.031834,0.049005,0.042186,0.053085,0.076229,0.055095,0.042348,0.072082,0.045446,0,0.0003,0
0.033935,0.051914,0.044862,0.05653,0.078364,0.058379,0.043886,0.070793,0.047785,0,0.000297,0
0.032474,0.049963,0.043045,0.053941,0.079757,0.056116,0.044532,0.081009,0.047336,0,0.000322,0
0.035519,0.054185,0.046894,0.058192,0.091274,0.0609,0.05477,0.180094,0.12729,0,0.000388,0
0.047975,0.073626,0.064407,0.07884,0.12044,0.082925,0.149646,0.240178,0.308627,0,0.000499,0
0.04885,0.074827,0.065506,0.080246,0.121815,0.084317,0.150487,0.24095,0.309763,0,0.000502,0
0.040547,0.062272,0.054205,0.06683,0.105381,0.070512,0.130178,0.216193,0.288354,0,0.000453,0
0.0403,0.062058,0.054,0.066317,0.105747,0.070039,0.131631,0.220671,0.289713,0,0.000458,0
0.044524,0.068122,0.059493,0.073143,0.113337,0.076886,0.139673,0.229321,0.298218,0,0.000477,0
0.044925,0.069436,0.060573,0.073941,0.115639,0.078071,0.146805,0.237503,0.304778,0,0.000491,0
0.042767,0.065708,0.057283,0.070319,0.110571,0.074089,0.138021,0.227775,0.29598,0,0.000472,0
0.048466,0.0743,0.065023,0.079628,0.121212,0.083705,0.150113,0.240613,0.309261,0,0.000501,0
0.342248,0.618814,0.51002,0.102045,0.172551,0.106433,0.076795,0.107008,0.08419,0,0.000542,0
0.342326,0.618854,0.510098,0.102107,0.172622,0.106463,0.076816,0.107071,0.084179,0,0.000542,0
0.342421,0.61896,0.510208,0.102185,0.172706,0.10654,0.076861,0.107112,0.084239,0,0.000542,0
0.342421,0.61896,0.510208,0.102185,0.172706,0.10654,0.076861,0.107112,0.084239,0,0.000542,0
0.342373,0.618919,0.510157,0.102184,0.172697,0.106539,0.076861,0.107113,0.084239,0,0.000542,0
0.342373,0.618919,0.510157,0.102184,0.172697,0.106539,0.076861,0.107113,0.084239,0,0.000542,0
0.342441,0.618605,0.510048,0.102317,0.172441,0.10664,0.076912,0.10715,0.084294,0,0.000542,0
0.342508,0.618734,0.510152,0.102312,0.172527,0.106638,0.076912,0.107159,0.084289,0,0.000543,0
0.342303,0.618611,0.50996,0.102304,0.172539,0.106631,0.076912,0.10717,0.084286,0,0.000543,0
